CID,CRPName
N00026431,"Salazar, John"
N00026892,"Salazar, Ken"
N00027644,"Sali, William T"
N00006446,"Salmon, Matt"
N00024870,"Sanchez, Linda"
N00008274,"Sanchez, Loretta"
N00000528,"Sanders, Bernie"
N00005724,"Sandlin, Max"
N00002424,"Sanford, Mark"
N00001380,"Santorum, Rick"
N00027751,"Sarbanes, John"
N00001979,"Sarbanes, Paul S"
N00000834,"Saxton, Jim"
N99999921,"Scalia, Antonin"
N00009660,"Scalise, Stephen Joseph ""Steve"
N99999954,"Schafer, Edward T"
N00004724,"Schakowsky, Jan"
N99999946,"Schapiro, Mary L"
N00028138,"Schatz, Brian"
N00029327,"Schauer, Mark"
N00009585,"Schiff, Adam"
N00030668,"Schilling, Bobby"
N00027526,"Schmidt, Jean"
N00033101,"Schneider, Brad"
N00029273,"Schock, Aaron"
N00030071,"Schrader, Kurt"
N00012656,"Schrock, Ed"
N00026106,"Schultz, Debbie Wasserman"
N00001093,"Schumer, Charles E"
N99999963,"Schwab, Susan"
N00001579,"Schwartz, Allyson"
N00004128,"Schwarz, Joe"
N00006460,"Schweikert, David"
N00032457,"Scott, Austin"
N00024871,"Scott, David"
N00002147,"Scott, Robert C"
N00031782,"Scott, Tim"
N99999937,"Sebelius, Kathleen"
N00028489,"Sekula-Gibbs, Shelley"
N00004291,"Sensenbrenner, F James Jr"
N00001813,"Serrano, Jose E"
N00003062,"Sessions, Jeff"
N00005681,"Sessions, Pete"
N00028049,"Sestak, Joe"
N00030622,"Sewell, Terri"
N00006425,"Shadegg, John"
N00024790,"Shaheen, Jeanne"
N00002877,"Shaw, E Clay Jr"
N00000652,"Shays, Christopher"
N00028091,"Shea-Porter, Carol"
N00009920,"Shelby, Richard C"
N00006897,"Sherman, Brad"
N00001510,"Sherwood, Don"
N00004961,"Shimkus, John M"
N99999945,"Shinseki, Eric K"
N00027655,"Shuler, Heath"
N00013770,"Shuster, Bill"
N00009608,"Simmons, Rob"
N00006263,"Simpson, Mike"
N00033983,"Sinema, Kyrsten"
N00027523,"Sires, Albio"
N00005105,"Skelton, Ike"
N00001311,"Slaughter, Louise M"
N00007833,"Smith, Adam"
N00027623,"Smith, Adrian"
N00009816,"Smith, Chris"
N00007815,"Smith, Gordon H"
N00001811,"Smith, Lamar"
N00004113,"Smith, Nick"
N99999987,"Snow, John W"
N00000480,"Snowe, Olympia J"
N00008188,"Snyder, Vic"
N00013869,"Sodrel, Michael E"
N00009586,"Solis, Hilda L."
N99999915,"Sotomayor, Sonia"
N00003844,"Souder, Mark E"
N99999920,"Souter, David H"
N00031204,"Southerland, Steve"
N00027902,"Space, Zachary T"
N00001604,"Specter, Arlen"
N00029649,"Speier, Jackie"
N99999974,"Spellings, Margaret M"
N00002492,"Spratt, John M Jr"
N00004118,"Stabenow, Debbie"
N00007397,"Stark, Pete"
N00002782,"Stearns, Cliff"
N00006060,"Stenholm, Charles W"
N99999919,"Stevens, John Paul"
N00007997,"Stevens, Ted"
N00033932,"Stewart, Chris"
N00029574,"Stivers, Steve"
N00005918,"STOCKMAN, STEVE"
N00003730,"Strickland, Ted"
N00004196,"Stupak, Bart"
N00030891,"Stutzman, Marlin A"
N00013847,"Sullivan, John"
N00000397,"Sununu, John E"
N00027901,"Sutton, Betty Sue"
N00033508,"Swalwell, Eric"
N00009821,"Sweeney, John E"
N00006701,"Takano, Mark"
N00005004,"Talent, James M."
N00006103,"Tancredo, Tom"
N00003254,"Tanner, John"
N00007422,"Tauscher, Ellen"
N00005372,"Tauzin, Billy"
N00002383,"Taylor, Charles H"
N00003350,"Taylor, Gene"
N00029556,"Teague, Harry"
N00005321,"Terry, Lee"
N00027605,"Tester, Jon"
N00007256,"Thomas, Bill"
N99999918,"Thomas, Clarence"
N00006246,"Thomas, Craig"
N00003288,"Thompson, Bennie G"
N00029736,"Thompson, Glenn"
N00007419,"Thompson, Mike"
N00008916,"Thompson, Tommy"
N00006052,"Thornberry, Mac"
N00004572,"Thune, John"
N00008144,"Tiahrt, Todd"
N00009699,"Tiberi, Patrick J."
N00000226,"Tierney, John F"
N00027509,"Tipton, Scott"
N00030191,"Titus, Dina"
N00030196,"Tonko, Paul"
N00001489,"Toomey, Pat"
N00001082,"Towns, Edolphus"
N00029026,"Tsongas, Niki"
N00005731,"Turner, Jim"
N00025175,"Turner, Michael R"
N00032601,"Turner, Robert L"
N00008051,"Udall, Mark"
N00006561,"Udall, Tom"
N00004133,"Upton, Fred"
N00033367,"Valadao, David"
N00013820,"Van Hollen, Chris"
N00007021,"Vargas, Juan"
N00033839,"Veasey, Marc"
N00034349,"Vela, Filemon"
N00001102,"Velazquez, Nydia M"
N00028933,"Vilsack, Thomas J"
N00003813,"Visclosky, Pete"
N00009659,"Vitter, David"
N00003583,"Voinovich, George V"
N00033106,"Wagner, Ann L"
N00026368,"Walberg, Tim"
N00007690,"Walden, Greg"
N00031226,"WALORSKI, JACKIE"
N00001261,"Walsh, James T"
N00004723,"Walsh, Joe"
N99999949,"Walters, John P"
N00027467,"Walz, Timothy J"
N00003159,"Wamp, Zach"
N00002061,"Warner, John W"
N00002097,"Warner, Mark"
N00033492,"Warren, Elizabeth"
N00006690,"Waters, Maxine"
N00013744,"Watson, Diane E"
N00002328,"Watt, Melvin L"
N00001861,"Waxman, Henry A"
N00028058,"Webb, James"
N00033539,"Weber, Randy"
N00026335,"Webster, Daniel"
N00001110,"Weiner, Anthony D"
N00000515,"Welch, Peter"
N00001535,"Weldon, Curt"
N00002807,"Weldon, Dave"
N00004745,"Weller, Jerry"
N00033310,"Wenstrup, Brad"
N00029131,"West, Allen B"
N00026163,"Westmoreland, Lynn A"
N00002905,"Wexler, Robert"
N00027533,"Whitehouse, Sheldon"
N00003467,"Whitfield, Ed"
N00003280,"Wicker, Roger"
N00030602,"Williams, Roger"
N00003528,"Wilson, Charlie"
N00030650,"Wilson, Frederica S"
N00006546,"Wilson, Heather"
N00024809,"Wilson, Joe"
N00029459,"Wittman, Rob"
N00002073,"Wolf, Frank R"
N00031857,"Womack, Steve"
N00032416,"Woodall, Rob"
N00007458,"Woolsey, Lynn"
N00009824,"Wu, David"
N00007724,"Wyden, Ron"
N00001849,"Wynn, Albert R"
N00028073,"Yarmuth, John A"
N00031502,"Yoder, Kevin W"
N00033220,"Yoho, Ted"
N00001817,"Young, C W Bill"
N00007999,"Young, Don"
N00030670,"Young, Todd"
N99999905,"Zients, Jeffrey"
