CID,CRPName
N00033518,"Collins, Doug"
N00002556,"Collins, Mac"
N00000491,"Collins, Susan M"
N00026041,"Conaway, Mike"
N00029891,"Connolly, Gerry"
N00004613,"Conrad, Kent"
N00004029,"Conyers, John Jr"
N00034224,"Cook, Paul"
N00031820,"Coons, Chris"
N00003132,"Cooper, Jim"
N00027441,"Corker, Bob"
N00024852,"Cornyn, John"
N00009945,"Corzine, Jon S"
N00026341,"Costa, Jim"
N00004956,"Costello, Jerry F"
N00033363,"Cotton, Thomas"
N00024842,"Courtney, Joe"
N99999896,"Cowan, William"
N00007124,"Cox, Christopher"
N00002091,"Craig, Larry"
N00003042,"Cramer, Bud"
N00004614,"Cramer, Kevin"
N00004698,"Crane, Phil"
N00006267,"Crapo, Mike"
N00031623,"Cravaack, Chip"
N00030770,"Crawford, Rick"
N00012739,"Crenshaw, Ander"
N00032014,"Critz, Mark"
N00001127,"Crowley, Joseph"
N00033085,"Cruz, Ted"
N00006242,"Cubin, Barbara"
N00024978,"Cuellar, Henry"
N00009738,"Culberson, John"
N00001971,"Cummings, Elijah E"
N00007050,"Cunningham, Randy ""Duke"""
N00034982,"CURSON, DAVID A."
N00029414,"Dahlkemper, Kathleen"
N00033054,"Daines, Steven"
N99999914,"Daley, William M"
N00004583,"Daschle, Tom"
N00009570,"Davis, Artur"
N00004884,"Davis, Danny K"
N00008758,"Davis, Dave"
N00024862,"Davis, Geoff"
N00002926,"Davis, Jim"
N00013078,"Davis, Jo Ann"
N00003264,"Davis, Lincoln"
N00034784,"Davis, Rodney"
N00009604,"Davis, Susan A"
N00002045,"Davis, Tom"
N00013291,"Dayton, Mark"
N00002610,"Deal, Nathan"
N00007781,"DeFazio, Peter"
N00006134,"DeGette, Diana"
N00000280,"Delahunt, Bill"
N00033897,"Delaney, John K"
N00000615,"DeLauro, Rosa L"
N00005892,"DeLay, Tom"
N00030693,"DelBene, Suzan"
N00002472,"DeMint, Jim"
N00031593,"Denham, Jeff"
N00026171,"Dent, Charles Wieder"
N00034746,"DeSantis, Ron"
N00030957,"Desjarlais, Scott Eugene"
N00031317,"Deutch, Ted"
N00002839,"Deutsch, Peter"
